ID,Module,Feature Group,Endpoint,Role,User Story,Expected Behaviour,Params,Status,Test Result / Errors,Automated Test Coverage,Notes
US-001,360 Stays,bookings,POST /api/v1/bookings,Authenticated user,"As authenticated user, I want to create booking.",Create booking.,,Pending,,,
US-002,360 Stays,bookings,GET /api/v1/bookings,Authenticated user,"As authenticated user, I want to list my bookings.",List my bookings.,,Pending,,,
US-003,360 Stays,bookings,GET /api/v1/bookings/all,Authenticated user,"As authenticated user, I want to list all bookings.",Global bookings listing. Admins see all; agents see their managed users/properties.,"status,agent_id,property_id,user_id",Pending,,,
US-004,360 Stays,bookings,POST /api/v1/bookings/calculate-pricing,Public,"As public, I want to calculate booking pricing.",Calculate booking pricing.,,Pending,,,
US-005,360 Stays,bookings,POST /api/v1/bookings/cancel,Authenticated user,"As authenticated user, I want to cancel booking.",Cancel booking.,,Pending,,,
US-006,360 Stays,bookings,POST /api/v1/bookings/check-availability,Public,"As public, I want to check booking availability.",Check booking availability.,,Pending,,,
US-007,360 Stays,bookings,GET /api/v1/bookings/past,Authenticated user,"As authenticated user, I want to list past bookings.",List past bookings.,,Pending,,,
US-008,360 Stays,bookings,POST /api/v1/bookings/payment,Authenticated user,"As authenticated user, I want to process booking payment.",Process booking payment.,,Pending,,,
US-009,360 Stays,bookings,POST /api/v1/bookings/review,Authenticated user,"As authenticated user, I want to add booking review.",Add booking review.,,Pending,,,
US-010,360 Stays,bookings,GET /api/v1/bookings/upcoming,Authenticated user,"As authenticated user, I want to list upcoming bookings.",List upcoming bookings.,,Pending,,,
US-011,360 Stays,bookings,GET /api/v1/bookings/{booking_id},Authenticated user,"As authenticated user, I want to get booking details.",Get booking details.,booking_id,Pending,,,
US-012,360 Stays,bookings,PUT /api/v1/bookings/{booking_id},Authenticated user,"As authenticated user, I want to update booking.",Update booking.,booking_id,Pending,,,
US-013,360 Stays,payments,GET /api/v1/payments/methods,Authenticated user,"As authenticated user, I want to list the current user's saved payment methods.",List the current user's saved payment methods,,Pending,,,
US-014,360 Stays,payments,POST /api/v1/payments/methods,Authenticated user,"As authenticated user, I want to save a new payment method for the current user.",Save a new payment method for the current user,,Pending,,,
US-015,360 Stays,payments,PUT /api/v1/payments/methods/{method_id},Authenticated user,"As authenticated user, I want to update a saved payment method.",Update a saved payment method,method_id,Pending,,,
US-016,360 Stays,payments,DELETE /api/v1/payments/methods/{method_id},Authenticated user,"As authenticated user, I want to delete a saved payment method.",Delete a saved payment method,method_id,Pending,,,
US-017,360 Stays,payments,POST /api/v1/payments/razorpay/order,Authenticated user,"As authenticated user, I want to create a Razorpay order for a booking.",Create a Razorpay order for a booking,,Pending,,,
